Sector,Project Title,Project ID,Project Status,Year,Closing Year,Duration(in months),Commitment Amount(in million)
Primary Education,Second Uttar Pradesh Basic Education Project,P050638,Closed,"December 4, 1997",2000-09-30,34,59.40
Primary Education,DISTRICT PRIMARY EDUCATION PROJECT II,P035821,Closed,"June 6, 1996",2003-06-30,86,25.80
Primary Education,DISTRICT PRIMARY EDUCATION PROJECT,P010464,Closed,"November 22, 1994",2003-06-30,104,260.30
Primary Education,UTTAR PRADESH BASIC EDUCATION,P009955,Closed,"June 10, 1993",2000-09-30,88,165.00
Primary Education,Social Safety Net Sector Adjustment Program Project,P009987,Closed,"December 17, 1992",1994-08-31,20,500.00
Tertiary Education,Technical Education Quality Improvement Project III,P154523,Closed,"June 24, 2016",2021-09-30,64,201.50
Tertiary Education,MP Higher Education Quality Improvement Project,P150394,Closed,"June 30, 2015",2022-06-30,85,300.00
Tertiary Education,India: Technical Engineering Educational Quality Improvement II,P102549,Closed,"March 18, 2010",2017-03-31,85,300.00
Tertiary Education,Technical/Engineering Education Quality Improvement Project,P072123,Closed,"November 14, 2002",2009-03-31,77,250.00
Tertiary Education,Rajasthan Second District Primary Education Project,P055455,Closed,"June 21, 2001",2008-03-31,82,74.40
Tertiary Education,Uttar Pradesh Third District Primary Education Project,P050667,Closed,"December 16, 1999",2006-03-31,76,182.40
Tertiary Education,RAJASTHAN DISTRICT PRIMARY EDUCATION PROJECT,P045050,Closed,"June 8, 1999",2005-12-31,79,85.70
Tertiary Education,Second Uttar Pradesh Basic Education Project,P050638,Closed,"December 4, 1997",2000-09-30,34,59.40
Tertiary Education,DISTRICT PRIMARY EDUCATION PROJECT II,P035821,Closed,"June 6, 1996",2003-06-30,86,25.80
Tertiary Education,Agricultural Human Resources Development Project,P010503,Closed,"March 30, 1995",2001-12-31,82,59.50
Tertiary Education,DISTRICT PRIMARY EDUCATION PROJECT,P010464,Closed,"November 22, 1994",2003-06-30,104,260.30
Tertiary Education,Second Technician Education Project,P009988,Closed,"March 28, 1991",1999-10-31,104,307.10
Tertiary Education,Technician Education Project,P009989,Closed,"May 1, 1990",1998-09-30,102,25.00
Tertiary Education,National Agricultural Research Project (02),P009847,Closed,"October 22, 1985",1996-06-30,130,72.10
Tertiary Education,Education Project,P009676,Closed,"October 24, 1972",1982-12-31,124,12.00
Urban water supply,Water Supply Project - Kerala,P009858,Closed,"July 16, 1985",1994-03-31,106,41.00
Urban water supply,Water Supply Project - Tamil Nadu,P009827,Closed,"March 29, 1984",1994-12-31,130,73.00
Urban water supply,Water Supply and Sewerage Project - Gujarat,P009810,Closed,"July 6, 1982",1991-12-31,115,72.00
Urban water supply,Water Supply and Sewerage Project - Rajasthan,P009770,Closed,"June 19, 1980",1988-12-31,103,80.00
Urban water supply,Water Supply and Sewerage Project - Maharashtra,P009754,Closed,"May 1, 1979",1985-06-30,75,48.00
Urban water supply,Water Supply and Sewerage Project - Punjab,P009753,Closed,"September 12, 1978",1985-09-30,85,38.00
Urban water supply,Water Supply and Sewerage - Bombay Project (02),P009752,Closed,"July 25, 1978",1988-03-31,117,196.00
Urban water supply,Water Supply and Sewerage Project - Uttar Pradesh,P009711,Closed,"August 19, 1975",1982-12-31,89,40.00
Urban water supply,Bombay Water Supply and Sewerage Project,P009680,Closed,"May 15, 1973",1981-06-30,98,55.00
Waste Management,Second Accelerating India's COVID-19 Social Protection Response (PMGKY),P174027,Closed,"December 15, 2020",2022-12-31,24,400.00
Waste Management,First Resilient Kerala Program Development Policy Operation,P169907,Closed,"June 27, 2019",2021-06-30,24,250.00
Waste Management,Dam Rehabilitation & Improvement Project - Restructuring and Additional Financing,P166977,Closed,"February 28, 2019",2023-12-28,58,137.00
Waste Management,Strengthening FMIS Capacity in Bihar,P157111,Closed,"November 1, 2015",2018-06-30,32,0.47
Waste Management,Andhra Pradesh Disaster Recovery Project,P154847,Closed,"June 17, 2015",2022-03-31,82,250.00
Waste Management,National Cyclone Risk Mitigation Project-II,P144726,Closed,"May 28, 2015",2023-03-14,94,308.40
Waste Management,Karnataka Multisectoral Nutrition Pilot,P149811,Closed,"June 25, 2014",2018-09-28,51,0.00
Waste Management,2nd DPL to Support Inclusive Green Growth and Sust Devlp in HP,P143032,Closed,"May 16, 2014",2014-11-30,6,100.00
Waste Management,India: National Cyclone Risk Mitigation Project (I) Additional Financing,P148870,Closed,"April 8, 2014",2023-12-28,118,104.00
Waste Management,IN AF UTTRAKHAND RWSS ADDITIONAL FINANCING,P148009,Closed,"March 4, 2014",2023-12-28,119,24.00
Waste Management,Odisha Disaster Recovery Project,P148868,Closed,"February 20, 2014",2020-06-30,77,153.00
Waste Management,Uttarakhand Disaster Recovery Project,P146653,Closed,"October 25, 2013",2023-09-30,120,250.00
Waste Management,IN Uttar Pradesh Water Sector Restructuring Project Phase 2,P122770,Closed,"August 28, 2013",2021-06-30,95,360.00
Waste Management,Tamil Nadu and Puducherry Coastal Disaster Risk Reduction Project,P143382,Closed,"June 20, 2013",2020-06-30,85,236.00
Waste Management,India - Bihar Panchayat Strengthening Project,P102627,Closed,"September 27, 2012",2019-12-30,88,84.00
Waste Management,IN Dam Rehabilitation and Improvement Project,P089985,Closed,"June 29, 2010",2021-03-31,130,279.30
Waste Management,India National Cyclone Risk Mitigation Project (1),P092217,Closed,"June 22, 2010",2018-12-31,103,255.00
Waste Management,Integrated Coastal Zone Management,P097985,Closed,"June 15, 2010",2020-06-30,122,221.96
Waste Management,Water Sector Improvement Project,P100954,Closed,"June 3, 2010",2018-07-28,99,450.60
Waste Management,India - Capacity Building for Industrial Pollution Management,P091031,Closed,"June 3, 2010",2018-03-31,95,25.21
Financial sector development,Industrial Export Project - Engineering Products,P009850,Closed,"October 29, 1985",1992-06-30,81,250.00
Financial sector development,Industrial Credit and Investment Project (14),P009789,Closed,"October 6, 1981",1988-03-31,78,150.00
Financial sector development,Industrial Credit and Investment Project (13),P009764,Closed,"May 13, 1980",1985-12-31,68,100.00
Financial sector development,Industrial Development Bank of India Project,P009738,Closed,"January 19, 1978",1984-03-31,75,25.00
Financial sector development,Industrial Credit and Investment Project (12),P009737,Closed,"July 5, 1977",1983-03-31,69,80.00
Financial sector development,Industrial Development Bank of India Project (02),P009705,Closed,"May 18, 1976",1983-03-31,83,40.00
Financial sector development,Industrial Credit Project (01),P009697,Closed,"April 1, 1975",1981-06-30,76,100.00
Financial sector development,Industrial Credit Project (10),P009675,Closed,"June 7, 1973",1978-12-31,67,70.00
Financial sector development,Industrial Development Bank of India Credit Project,P009674,Closed,"January 9, 1973",1979-09-30,81,25.00
Financial sector development,Industrial Credit Project (09),P009663,Closed,"October 26, 1971",1976-12-31,63,60.00
Financial sector development,Industrial Credit Project (08),P009649,Closed,"June 2, 1970",1974-09-30,52,40.00
Financial sector development,Industrial Credit Project (07),P009642,Closed,"September 19, 1967",1973-12-31,76,25.00
Financial sector development,Industrial Credit Project (06),P009632,Closed,"May 28, 1965",1973-06-30,98,50.00
Financial sector development,Industrial Credit Project (05),P009625,Closed,"June 5, 1963",1978-04-30,181,30.00
Roads and highways,Technical Assistance for Infrastructure PPPs,P102499,Closed,"September 23, 2006",2008-06-30,21,0.00
Roads and highways,Grand Trunk Road Improvement Project,P071244,Closed,"June 21, 2001",2008-06-30,85,589.00
Roads and highways,KARNATAKA STATE HIGHWAYS IMPROVEMENT PROJECT,P070421,Closed,"May 24, 2001",2007-10-31,78,360.00
Roads and highways,Madhya Pradesh District Poverty Initiatives Project,P059242,Closed,"November 7, 2000",2008-06-30,93,110.10
Roads and highways,GUJARAT STATE HIGHWAY PROJECT,P010566,Closed,"September 5, 2000",2007-12-31,89,381.00
Roads and highways,THIRD NATIONAL HIGHWAYS PROJECT,P009972,Closed,"June 8, 2000",2007-12-31,92,516.00
Roads and highways,RAJASTHAN DISTRICT POVERTY INITIATIVES PROJECT,P010505,Closed,"April 25, 2000",2007-12-31,93,100.48
