Sector,Project Title,Project ID,Project Status,Year,Closing Year,Duration(in months),Commitment Amount(in million),GDP in (Billion) $,Per Capita in rupees,Growth%
Health,India: National Vector Borne Disease Control & Polio Eradication Support Project,P094360,Closed,2008,2013-12-31,65,521.0,1198.9,79920,3.09
Health,Andhra Pradesh Rural Poverty Reduction: Drought Adaptative Initiative Project,P104724,Closed,2007,2023-12-28,200,65.0,1216.74,82240,7.66
Health,India: Third National HIV/AIDS Control Project,P078538,Closed,2007,2012-09-30,66,250.0,1216.74,82240,7.66
Health,India: Second National Tuberculosis Control Project,P078539,Closed,2006,2012-09-30,74,170.0,940.26,64560,8.06
Health,India: Reproductive & Child Health Second Phase,P075060,Closed,2006,2012-03-31,68,360.0,940.26,64560,8.06
Health,Karnataka Health System Development and Reform Project,P071160,Closed,2006,2017-03-31,129,141.83,940.26,64560,8.06
Health,Orissa Socio-Economic Development Loan/Credit II,P097036,Closed,2006,2008-06-30,23,225.0,940.26,64560,8.06
Health,India: Tamil Nadu Health Systems Project,P075058,Closed,2004,2015-09-15,130,110.83,709.15,50240,7.92
Health,Orissa Socio-Economic Development Loan/Credit,P081882,Closed,2004,2005-07-31,9,125.0,709.15,50240,7.92
Primary Education,India: Elementary Education III,P144447,Closed,2014,2018-02-28,46,1006.2,2039.13,125920,7.41
Primary Education,Additional Financing for Second Elementary Education Project,P118673,Closed,2010,2023-12-28,167,750.0,1675.62,108640,8.5
Primary Education,India: Elementary Education (Sarva Shiksha Abhiyan II),P102547,Closed,2008,2012-09-30,53,600.0,1198.9,79920,3.09
Primary Education,Third Andhra Pradesh Economic Reform Loan/Credit,P075174,Closed,2007,2010-06-30,42,225.0,1216.74,82240,7.66
Primary Education,ELEMENTARY EDUCATION PROJECT,P055459,Closed,2004,2007-12-31,45,500.0,709.15,50240,7.92
Primary Education,Gujarat District Primary Education Project,P072972,Closed,2001,2005-06-30,46,15.75,485.44,36160,4.82
Primary Education,Rajasthan Second District Primary Education Project,P055455,Closed,2001,2008-03-31,82,74.4,485.44,36160,4.82
Primary Education,Uttar Pradesh Third District Primary Education Project,P050667,Closed,1999,2006-03-31,76,182.4,458.82,35360,8.85
Primary Education,RAJASTHAN DISTRICT PRIMARY EDUCATION PROJECT,P045050,Closed,1999,2005-12-31,79,85.7,458.82,35360,8.85
Primary Education,Andhra Pradesh Economic Restructuring Project,P049385,Closed,1998,2006-03-31,94,301.3,421.35,33040,6.18
Primary Education,District Primary Education Project (03),P038021,Closed,1997,2006-03-31,101,152.0,415.87,33200,4.05
Primary Education,Second Uttar Pradesh Basic Education Project,P050638,Closed,1997,2000-09-30,34,59.4,415.87,33200,4.05
Primary Education,DISTRICT PRIMARY EDUCATION PROJECT II,P035821,Closed,1996,2003-06-30,86,25.8,392.9,32000,7.55
Primary Education,DISTRICT PRIMARY EDUCATION PROJECT,P010464,Closed,1994,2003-06-30,104,260.3,327.28,27680,6.66
Primary Education,UTTAR PRADESH BASIC EDUCATION,P009955,Closed,1993,2000-09-30,88,165.0,279.3,24080,4.75
Primary Education,Social Safety Net Sector Adjustment Program Project,P009987,Closed,1992,1994-08-31,20,500.0,288.21,25360,5.48
Tertiary Education,Technical Education Quality Improvement Project III,P154523,Closed,2016,2021-09-30,64,201.5,2294.8,138640,8.26
Tertiary Education,MP Higher Education Quality Improvement Project,P150394,Closed,2015,2022-06-30,85,300.0,2103.59,128480,8.0
Tertiary Education,India: Technical Engineering Educational Quality Improvement II,P102549,Closed,2010,2017-03-31,85,300.0,1675.62,108640,8.5
Tertiary Education,Technical/Engineering Education Quality Improvement Project,P072123,Closed,2002,2009-03-31,77,250.0,514.94,37680,3.8
Tertiary Education,Rajasthan Second District Primary Education Project,P055455,Closed,2001,2008-03-31,82,74.4,485.44,36160,4.82
Tertiary Education,Uttar Pradesh Third District Primary Education Project,P050667,Closed,1999,2006-03-31,76,182.4,458.82,35360,8.85
Tertiary Education,RAJASTHAN DISTRICT PRIMARY EDUCATION PROJECT,P045050,Closed,1999,2005-12-31,79,85.7,458.82,35360,8.85
Tertiary Education,Second Uttar Pradesh Basic Education Project,P050638,Closed,1997,2000-09-30,34,59.4,415.87,33200,4.05
Tertiary Education,DISTRICT PRIMARY EDUCATION PROJECT II,P035821,Closed,1996,2003-06-30,86,25.8,392.9,32000,7.55
Tertiary Education,Agricultural Human Resources Development Project,P010503,Closed,1995,2001-12-31,82,59.5,360.28,29920,7.57
Tertiary Education,DISTRICT PRIMARY EDUCATION PROJECT,P010464,Closed,1994,2003-06-30,104,260.3,327.28,27680,6.66
Tertiary Education,Second Technician Education Project,P009988,Closed,1991,1999-10-31,104,307.1,270.11,24240,1.06
Tertiary Education,Technician Education Project,P009989,Closed,1990,1998-09-30,102,25.0,320.98,29440,5.53
Tertiary Education,National Agricultural Research Project (02),P009847,Closed,1985,1996-06-30,130,72.1,232.51,23680,5.25
Tertiary Education,Education Project,P009676,Closed,1972,1982-12-31,124,12.0,71.46,9840,-0.55
Urban water supply,Water Supply Project - Kerala,P009858,Closed,1985,1994-03-31,106,41.0,232.51,23680,5.25
Urban water supply,Water Supply Project - Tamil Nadu,P009827,Closed,1984,1994-12-31,130,73.0,212.16,22160,3.82
Urban water supply,Water Supply and Sewerage Project - Gujarat,P009810,Closed,1982,1991-12-31,115,72.0,200.72,21920,3.48
Urban water supply,Water Supply and Sewerage Project - Rajasthan,P009770,Closed,1980,1988-12-31,103,80.0,186.33,21360,6.74
Urban water supply,Water Supply and Sewerage Project - Maharashtra,P009754,Closed,1979,1985-06-30,75,48.0,152.99,17920,-5.24
Urban water supply,Water Supply and Sewerage Project - Punjab,P009753,Closed,1978,1985-09-30,85,38.0,137.3,16480,5.71
Urban water supply,Water Supply and Sewerage - Bombay Project (02),P009752,Closed,1978,1988-03-31,117,196.0,137.3,16480,5.71
Urban water supply,Water Supply and Sewerage Project - Uttar Pradesh,P009711,Closed,1975,1982-12-31,89,40.0,98.47,12640,9.15
Urban water supply,Bombay Water Supply and Sewerage Project,P009680,Closed,1973,1981-06-30,98,55.0,85.52,11520,3.3
Waste Management,Second Accelerating India's COVID-19 Social Protection Response (PMGKY),P174027,Closed,2020,2022-12-31,24,400.0,2667.69,154640,-6.6
Waste Management,First Resilient Kerala Program Development Policy Operation,P169907,Closed,2019,2021-06-30,24,250.0,2831.55,165760,3.74
Waste Management,Dam Rehabilitation & Improvement Project - Restructuring and Additional Financing,P166977,Closed,2019,2023-12-28,58,137.0,2831.55,165760,3.74
Waste Management,Strengthening FMIS Capacity in Bihar,P157111,Closed,2015,2018-06-30,32,0.47,2103.59,128480,8.0
Waste Management,Andhra Pradesh Disaster Recovery Project,P154847,Closed,2015,2022-03-31,82,250.0,2103.59,128480,8.0
Waste Management,National Cyclone Risk Mitigation Project-II,P144726,Closed,2015,2023-03-14,94,308.4,2103.59,128480,8.0
Waste Management,Karnataka Multisectoral Nutrition Pilot,P149811,Closed,2014,2018-09-28,51,0.0,2039.13,125920,7.41
